,id,caption,description,moreInfo,bannerImage,eng
10,57,"Mẫu thảm lót sàn mới cuối năm nay cho các dòng xe từ 4 - 7 chỗ. Sang trọng, dễ vệ sinh",Giảm không lợi nhuận 20% cho toàn bộ khách hàng,"Ship toàn quốc, lắp đặt xong mới thanh toán. Đăng ký ngay",57.jpg,"New floor mat model later this year for cars from 4 to 7 seats. Luxurious, easy to clean"
11,63,"Đăng ký nhận báo giá ưu đãi 20% sản phẩm thảm sàn ô tô cho xe 4 - 7 chỗ, xe bán tải.",Lắp 1 lần - Dùng 10 năm,Lắp xong đẹp mới thanh toán,63.jpg,Register to receive a 20% discount on car floor mats for 4-7-seat vehicles and pickup trucks.
12,72,"Bạt trùm phủ 3 lớp - Tráng nhôm phản quang cách nhiệt, chống nước, ngăn bẻ trộm gương.",Mua ngay giảm 30%,Miễn phí giao hàng nhanh toàn quốc,72.jpg,"3-layer canvas cover - Reflective aluminum coating, heat insulation, water resistance, preventing mirror theft."
13,76,"Thảm sàn đa năng, không mùi, chống ồn, dễ vệ sinh Xả kho 99 bộ thảm dành cho xe 4 - 7 chỗ",Giảm không lợi nhuận 20% cho toàn bộ khách hàng,"Ship toàn quốc, lắp đặt xong mới thanh toán. Đăng ký ngay",76.jpg,"Multi-purpose floor mats, odorless, noise-proof, easy to clean. Stock 99 sets of mats for 4 - 7 seat vehicles"
14,80,Đệm hơi ô tô thông minh - Giúp bạn và gia đình xua tan mệt mỏi sau nhiều giờ lái xe.,Ưu đãi 30% khi đặt hàng ngay trong hôm nay.,Miễn phí giao hàng toàn quốc.,80.jpg,Smart car air cushion - Helps you and your family dispel fatigue after many hours of driving.
15,89,"Xả kho mẫu thảm lót sàn mới nhất cho xe 4 - 7 chỗ. Sang trọng, bền, dễ vệ sinh, chống ồn",Giảm thêm 20% đơn hàng hôm nay,Lắp đặt xong đẹp chuẩn mới thanh toán. Không ưng hoàn tiền,89.jpg,"Discharging the latest floor mat models for 4 - 7 seat vehicles. Luxurious, durable, easy to clean, noise-proof"
16,101,Đi xe phải có nhạc hay mới vui anh ạ! USB sẵn 1200 bài nhạc tuyển chọn 2020. Cắm là nghe!,"Còn 62 chiếc ưu đãi, giá từ 290k",Nhận usb cắm thử nghe hay mới phải trả tiền. Yên tâm ạ!,101.jpg,Driving must have good music to be fun! USB with 1200 selected music songs 2020. Plug in and listen!
17,103,"Bọc ghế da ô tô Hà Nội, bọc đẹp da cao cấp với đội ngũ kỹ thuật chuyên nghiệp. Ưu đãi 15%",Ưu đãi 15% duy nhất ngay hôm nay,Đăng ký ngay nhận ưu đãi,103.jpg,"Leather car seat covers in Hanoi, beautifully covered with high-quality leather with a professional technical team. 15% discount"
18,110,"Bọc ghế da ô tô Hà Nội với thợ tay nghề trên 7 năm kinh nghiệm, êm ái trên mọi nẻo đường",Mừng khai trương cơ sở 3 tặng ngay 15% tiền mặt,Chất lượng tạo nên thương hiệu,110.jpg,"Leather car seat covers in Hanoi with skilled craftsmen with over 7 years of experience, smooth on all roads"
19,115,Cung cấp các loại vỏ ô tô tải và du lịch,Deestone vỏ nhập Thái giá ưu đãi,Uy tín _ chất lượng _ bảo hành cao,115.jpg,Providing all kinds of truck and travel car covers
20,117,Thảm lót sàn oto cao cấp giảm 200k khi đặt hàng ngay hôm nay.,Freeship toàn quốc,Bảo hành trọn đời,117.jpg,High-quality car floor mats are 200k off when ordering today.
21,125,Siêu khuyến mãi Camera hành trình gương Full màn cảm ứng 9.66 inch,Camera hành trình  Acumen,,125.jpg,Super promotion Mirror dash cam Full touch screen 9.66 inch
22,128,"Đệm hơi ô tô thông minh, biến ghế sau thành giường, xóa tan mệt mỏi trên mỗi chuyến đi xa.",Mua ngay ưu đãi 30%.,Miễn phí giao hàng - nhận hàng kiểm tra rồi mới thanh toán.,128.jpg,"Smart car air cushion, turns the back seat into a bed, eliminating fatigue on every long trip."
23,133,Xưởng bọc ghế da uy tín chất lượng. May thiết kế và tư vấn mẫu  theo yêu cầu,Tặng 39 mã giảm giá 15% đặt lịch  ngay hôm nay,386 Người đang xem,133.jpg,Prestigious quality leather upholstery workshop. Sewing designs and consulting samples upon request
24,141,"Lựa chọn thảm sàn ô tô 6d. May đo cho từng xe. Sang trọng, sạch sẽ, an toàn. Giảm giá 20%","Giảm ồn tốt, nổi bật nội thất xe",Lắp xong đẹp mới thanh toán,141.jpg,"Choose 6d car floor mats. Tailored for each vehicle. Luxurious, clean, safe. 20% off"
25,157,"Bạt cách nhiệt phủ ô tô 3 lớp - Chống xước xe, chống nắng nóng bụi bẩn, chống thấm nước.",Giảm 30% khi đặt hàng.,Miễn phí giao hàng toàn quốc.,157.jpg,"3-layer car insulating tarpaulin - Anti-scratch, anti-sun and dust-proof, waterproof."
26,159,Xả kho 1000 bộ thảm lót sàn 6d cho xe ô tô. Giảm 20% giá xưởng quá đáng tiếc nếu bỏ lỡ,Ưu đãi cho 99 khách hàng đầu tiên ngay hôm nay,3754 người đã đăng ký,159.jpg,Clearance of 1000 sets of 6d floor mats for cars. 20% off factory price too regrettable to miss out
27,182,Không còn lo lắng khi để xe ngoài trời. Nay đã có bạt phủ 3 lớp tráng nhôm cao cấp dày dặn,Mua ngay hôm nay giảm 30%,Miễn phí giao hàng nhanh,182.jpg,No more worries when leaving your car outdoors. Now there is a thick 3-layer aluminum coated canvas
28,194,"Bạt trùm 3 lớp tráng nhôm - Giải pháp bảo vệ xe khỏi lo mưa nắng bụi bẩn, chống trộm gương",Mua ngay giảm 30%,Miễn phí giao hàng nhanh toàn quốc,194.jpg,"3-layer aluminum coated tarpaulin - Solution to protect your car from rain, sun, dust, and prevent mirror theft"
29,195,Đổi màu nội thất ô tô cao cấp với chuyên gia giàu kinh nghiệm tại Hà Nội. Nhận ưu đãi,Tặng 15% giá trị đơn hàng đón Tết Tân Sửu,Không đẹp không lấy tiền,195.jpg,Change the color of high-end car interiors with experienced experts in Hanoi. Get offers
30,203,Siêu phẩm bọc răng sứ toàn phần cao cấp tự tin mang đến cho bạn nụ cười chuẩn phú quý,Bọc răng sứ chỉ 369000/răng,Trợ giá 80% chi phí. Trọn bộ 16 răng chỉ 5 triệu,203.jpg,"Super high quality full porcelain crowns confidently bring you a rich, standard smile"
31,204,Bọc trọn bộ 16 răng toàn sứ ưu đãi 80% chỉ 5 triệu tới 15 anh chị đăng ký trong hôm nay,369000/răng bọc sứ cao cấp công nghệ cao. Bảo tồn răng gốc,Trọn bộ răng toàn sứ 5 triệu.,204.jpg,Full set of 16 all-ceramic teeth with 80% discount for only 5 million for 15 people who register today
32,206,"Trọn bộ 16 răng sứ toàn phần chuẩn nhân tướng. Nhan sắc thăng hoa, thành công mở lối.","Nụ cười toả nắng phát tài, phát lộc",Làm răng sứ có thể thay đổi được phong thủy.,206.jpg,"Complete set of 16 fully porcelain teeth of human standard. Beauty sublimates, success opens the way."
33,212,"Bọc răng sứ bền đẹp tự nhiên, không đau, không mài nhỏ Ưu đãi 80% chỉ 369k/răng",Răng sứ cao cấp chỉ 369K,Để lại SĐT nhận ưu đãi,212.jpg,"Porcelain crowns are naturally beautiful, durable, painless, and do not grind small. 80% discount for only 369k/tooth"
34,217,"Ai có vấn đề về răng, trả lời ngay câu hỏi dưới đây để nhận thẻ VIP, chỉ còn 8 suất thôi",Nha khoa quốc tế Nevada,,217.jpg,"Anyone who has dental problems, immediately answer the question below to receive a VIP card, only 8 spots left"
35,222,Cần tìm 15 anh chị trải nghiệm ngay công nghệ bọc răng sứ superlas 6d độc quyền tại nevada,"Chỉ 1,5tr/răng bền vững trọn đời","Hết ưu đãi trở về giá gốc, nhanh tay đăng ký",222.jpg,Looking for 15 people to immediately experience the exclusive Superlas 6D porcelain crown technology in Nevada
36,225,"Tặng 5 phần quà ưu đãi tới 70% Răng sứ độ bền 2000mpa, nhập khẩu Đức Dành cho ai may mắn.","Miếng sứ mỏng chỉ từ 0,2mm. Bảo hành trọn đời",Phân biệt rõ răng toàn sứ và răng phủ nhựa composite khác.,225.jpg,"Offering 5 promotional gifts up to 70% Porcelain teeth with durability of 2000mpa, imported from Germany For lucky people."
37,232,Nụ cười chuẩn phú quý chỉ 369000/răng Ưu đãi 80% chi phí bọc răng sứ cao cấp khi đăng kỳ,Trọn bộ răng sứ chỉ 5900000,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,232.jpg,"Wealthy standard smile only 369,000/tooth 80% discount on premium porcelain crowns when registered"
38,247,"Đón giáng sinh tưng bừng với răng bọc sứ cao cấp Đức. Không mài nhỏ, màu sắc tự nhiên",Bọc răng sứ chỉ 369000/răng,Trợ giá 80% chi phí. Trọn bộ 16 răng chỉ 5 triệu,247.jpg,"Celebrate Christmas with high-quality German porcelain crowns. No grinding, natural color"
39,248,Trồng răng implant giải pháp toàn diện không phục răng mất hoàn hảo,Nhận ưu đãi và thăm khám miễn phí,"Hơn 7000 ca implant thành công, cấy ghép bởi chuyên gia",248.jpg,Dental implants are a comprehensive solution that does not completely restore missing teeth
40,250,Bọc răng sứ chuẩn nhân tướng ưu đãi 80% tới 15 anh chị đăng ký ngay hôm nay.,369000/răng bọc sứ cao cấp công nghệ cao,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,250.jpg,Standard porcelain crowns are offered at 80% discount for up to 15 people who register today.
41,255,"Bọc răng sứ toàn phần cao cấp Đức Không mài nhỏ, ăn nhai thoải mái 369000/răng",Trọn bộ 16 răng chỉ 5 triệu,Ưu đãi 80% khi đăng ký. Chỉ còn 23 suất nhận ưu đãi,255.jpg,"High quality German full porcelain crown No grinding, comfortable chewing 369000/tooth"
42,259,"Đẳng cấp miếng sứ mỏng từ 0,2mm. Tặng 70% chi phí cho 5 khách hàng nhanh tay.",Bảo hành trọn đời với sứ từ Đức,"Xem trước kết quả nụ cười, ưu đãi có hạn.",259.jpg,Classy ceramic pieces as thin as 0.2mm. Get 70% off for 5 quick customers.
43,261,"Cần tìm 10 bạn răng xấu, ố vàng, hở lợi Trợ giá lên đên 80% chi phí dịch vụ bọc răng sứ",Bọc răng sứ chỉ 369000/răng,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,261.jpg,"Need to find 10 people with bad teeth, yellow stains, exposed gums. Subsidy up to 80% of the cost of porcelain crown service"
44,270,"Răng sứ toàn phần không chỉ đẹp mà còn thay đổi dung nhan, ăn nhai còn tốt hơn răng thật.",Ưu đãi 30 suất chỉ 369k/răng,Để lại số điện thoại nhận ngay ưu đãi và tư vấn của bác sĩ.,270.jpg,Full porcelain teeth are not only beautiful but also change your appearance and chew better than real teeth.
45,274,Bọc trọn bộ 16 răng sứ ưu đãi 80%. Chỉ 369k/răng sứ cao cấp. Răng đẹp đón xuân sang.,Nhanh tay đăng ký trong ngày cuối cùng của năm,Bảo hành 10 năm. Bảo tồn răng gốc,274.jpg,Full set of 16 porcelain teeth with 80% discount. Only 369k/high quality porcelain tooth. Beautiful teeth welcome spring.
46,278,Sở hữu nụ cười chuẩn nhân tướng với răng bọc sứ toàn phần cao cấp. Ưu đãi 80% chi phí,Bọc răng sứ chỉ 369000/răng,Trọn bộ 16 răng chỉ 5 triệu. Còn 15 suất cuối cùng,278.jpg,Possesses a human-quality smile with high-quality full porcelain crowns. 80% discount on cost
47,280,Răng toàn sứ chính hãng từ Đức Tặng 70% chi phí tri ân giáng sinh Chỉ 5 suất ưu đãi.,"Bảo hành trọn đời, tặng vé vip thăm khám cho gia đình.",Làm trước trả tiền sau. Xem trước nụ cười với công nghệ 3D.,280.jpg,Genuine all-ceramic teeth from Germany Offering 70% of the cost of Christmas appreciation Only 5 preferential rates.
48,291,Ưu đãi nhân dịp giáng sinh. Bọc răng sứ cao cấp chỉ 369k/răng. Bảo hành vĩnh viễn.,Sứ cao cấp chỉ 369000đ/răng,Ưu đãi duy nhất dịp giáng sinh!,291.jpg,Promotions for Christmas. High quality porcelain crowns only 369k/tooth. Lifetime warranty.
49,298,"Bọc răng sứ không mài nhỏ răng Chỉ với sứ mỏng từ 0,2mm Độc quyền tại Đà Nẵng.",Giảm 70% chi phí cho 5 suất đăng ký đầu tiên,"Bảo hành trọn đời, làm trước trả tiền sau",298.jpg,Porcelain crowns do not grind teeth down. Only with porcelain as thin as 0.2mm Exclusively in Da Nang.
50,307,Tài trợ 80% chi phí bọc răng sứ Nhật tới 15 anh chị nhanh tay đăng ký ngay hôm nay.,369000/răng bọc sứ cao cấp công nghệ cao. Bảo tồn răng gốc,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,307.jpg,Sponsor 80% of the cost of Japanese porcelain crowns for 15 people who quickly register today.
51,308,"Xoá bỏ nỗi lo về hở lợi, ố vàng, răng thưa và khấp khểnh khi bọc răng sứ toàn Đức",Bọc răng sứ chỉ 369000/răng,Trợ giá 80%. Trọn bộ 16 răng còn 5 triệu. Giá cũ 14 triệu,308.jpg,"Eliminate worries about exposed gums, yellow stains, spaced and crooked teeth when using Toan Duc porcelain crowns."
52,313,Tri ân khách hàng trộn bộ răng sứ đẹp chuẩn nhân tướng chỉ cần 5 triệu khi đăng ký hôm nay,Tặng ngay 1 triệu khi đến trong ngày.,Để lại SĐT để nhận ưu đãi và tư vấn của bác sĩ,313.jpg,Grateful to customers who mix beautiful porcelain teeth to meet human standards for only 5 million when registering today
53,323,Tài trợ 80% chi phí răng sứ cho 15 anh chị đăng ký sớm nhất. Chỉ 369k/răng.,Bảo hành trọn đời,Để lại SĐT nhận ưu đãi,323.jpg,Sponsor 80% of the cost of porcelain teeth for the first 15 people who register. Only 369k/tooth.
54,334,Khuyến mãi lên đến 80% Trọn gói 16 răng sứ 7tr900,Dành cho 20 người đầu tiên,Đăng ký để nhận ưu đãi ngay hôm nay,334.jpg,"Promotion up to 80% Package of 16 porcelain teeth 7,900 million"
55,337,Bọc răng sứ toàn phần công nghệ Nhật Bản ưu đãi 80% cho anh chị nhanh tay đăng ký hôm nay.,Trọn bộ 5900000/16 răng sứ toàn phần,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,337.jpg,Full porcelain crowns with Japanese technology offer 80% discount for you to quickly register today.
56,362,Cần ngay 9 bạn nhận thẻ ưu đãi trải nghiệm bọc răng sứ. Tặng ngay 24tr khi làm 16 răng nha,"Thay đổi nụ cười chỉ với 1,5tr","Hạn đăng ký đến 24h hôm nay thôi, anh em HCM nhanh tay nhé",362.jpg,Need 9 people to receive preferential cards to experience porcelain dental crowns. Get 24 million immediately when you get 16 teeth done
57,365,"Bọc răng sứ toàn phần cao cấp của Đức Không mài nhỏ, bảo toàn 95% răng gốc Chỉ sau 2h",Bọc răng sứ chỉ 369000/răng,Trợ giá 80% chi phí cho 10 bạn răng xấu đăng ký sớm nhất,365.jpg,"High quality full porcelain crown from Germany No grinding, preserves 95% of original teeth After only 2 hours"
58,396,"Bọc răng sứ toàn phần cao cấp Đức Không mài nhỏ, bảo hành trọn đời Ưu đãi 80% chi phí",Bọc răng sứ chỉ 369000/răng,"Trọn bộ 16 răng chỉ 5 triệu. Màu sắc trắng trong, tự nhiên",396.jpg,"High quality German full porcelain crown No grinding, lifetime warranty 80% discount on cost"
59,406,"Ưu đãi 80% chi phí bọc trọn bộ 16 răng sứ chính hãng. Đủ tông màu, chuẩn nhân tướng.",369000/răng bọc sứ cao cấp công nghệ cao. Bảo tồn răng gốc,Trọn bộ răng toàn sứ 5 triệu.,406.jpg,"80% discount on the cost of covering a full set of 16 genuine porcelain teeth. Full color, standard appearance."
60,411,Ưu đãi 80% chi phí bọc răng sứ dành cho 10 anh chị răng xấu. Chỉ 369k/răng,Chỉ 369k/răng. Đăng ký ngay,Ưu đãi duy nhất hôm nay,411.jpg,80% discount on the cost of porcelain crowns for 10 people with bad teeth. Only 369k/tooth
61,416,Ưu đãi 80% chi phí cho 10 bạn răng xấu Trọn bộ bọc răng sứ chỉ 5 triệu,Bọc răng sứ chỉ 369000/răng,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,416.jpg,80% discount for 10 people with bad teeth. Full set of porcelain crowns for only 5 million
62,422,Ưu đãi giảm giá 80% chỉ duy nhất cho 10 người trong hôm nay đặt lịch tư vấn ngay,Răng đẹp chỉ sau 2  lần hẹn,Đăng ký ngay để tư vấn cùng bác sĩ,422.jpg,80% discount only for 10 people today to schedule a consultation now
63,425,"Bọc răng sứ toàn phần cao cấp không lo về giá Không mài nhỏ, màu tự nhiên Ưu đãi 80%",Bọc răng sứ chỉ 369000/răng,Trọn bộ 16 răng chỉ 5 triệu 9. Chỉ còn 15 suất nhận ưu đãi,425.jpg,"High quality full porcelain crowns, no need to worry about price No grinding, natural color 80% discount"
64,427,"Bọc răng sứ cao cấp. Không đau, không mài nhỏ. Ưu đãi 80%. Chỉ 369K/răng.",Sứ cao cấp nhập khẩu.,Để lại SĐT đăng ký ưu đãi,427.jpg,"High quality porcelain crowns. No pain, no grinding. 80% discount. Only 369K/tooth."
65,442,"Bọc trọn bộ răng toàn sứ với 5 triệu. Nụ cười đẹp chuẩn nhân tướng, phát tài, phát lộc.",369000/răng bọc sứ cao cấp công nghệ cao. Bảo tồn răng gốc,Trọn bộ răng toàn sứ 5 triệu.,442.jpg,"Complete set of porcelain teeth for 5 million. A beautiful smile equals a person's appearance, brings wealth and fortune."
66,449,Tài trợ 80% chi phí bọc răng sứ tới 15 anh chị nhanh tay đăng ký ngay hôm nay.,369000/răng bọc sứ cao cấp công nghệ cao. Bảo tồn răng gốc,Để lại số điện thoại để nhận ưu đãi và tư vấn miễn phí,449.jpg,Sponsor 80% of the cost of porcelain crowns for up to 15 people who quickly register today.
67,454,Áo gió nam 2 mặt mua 1 mặc được 2 sale lớn còn 249.000đ đủ màu đủ size duy nhất hôm nay,Mua ngay giá sale 249k,Freeship khi mua từ 2 chiếc,454.jpg,"Men's double-sided windbreaker, buy 1, wear 2, big sale for 249,000 VND, all colors, all sizes, only today"
68,455,"Ưu đãi 60%. Mẫu giày lười thoáng khí. Giá chỉ 299k. Miễn phí ship, xem hàng khi thanh toán",Duy nhất 55 đôi giá sale 50% giá 299k,Bảo hàng 12 tháng,455.jpg,"60% discount. Breathable loafer model. Price only 299k. Free shipping, see products when paying"
69,456,Giày da cá sấu hoàn toàn được may thủ công với chất liệu da cá sấu loại 1 cao cấp...,MrFour,Sản xuất thủ công và phân phối các giày da cá sấu độc quyền,456.jpg,Crocodile leather shoes are completely hand-sewn with premium grade 1 crocodile leather...
70,459,Bán nhanh 137 đôi giày khâu tay giảm giá tới 78% chỉ còn 299k ngày hôm nay,Giày A Hỏa,Mua sắm & Bán lẻ,459.jpg,"Quick sale of 137 pairs of hand-stitched shoes, up to 78% off, only 299k today"
71,460,1 đổi 1 trong 30 ngày,Miễn phí giao hàng toàn quốc,Còn lại 27 đôi,460.jpg,1 for 1 within 30 days
72,461,Một sản phẩm dành cho phái nữ chúng ta,Quá tuyệt cho một sản phẩm dành cho nữ giới,,461.jpg,A product for us women
73,463,Đây là những mẫu giày công sở đang được quý ông tìm mua nhiều bất ngờ giảm 70%  giá bán,Gu chất - Thời trang công sở,Bảo hành 3 năm,463.jpg,These are office shoe models that are being sought after by many gentlemen and are suddenly reduced by 70% in price
74,464,Hàng thiết kế chính hãng. May tay thủ công! Êm chân - chống mỏi - lót massage.,Khuyến mãi 40% chỉ hôm nay,"Miễn phí giao hàng, đổi mới trong 7 ngày. Xem ngay!",464.jpg,Genuine designer products. Hand sewing! Soft feet - anti-fatigue - massage insoles.
75,465,May tay thủ công! Tỉ mỉ tinh tế từng đường chỉ. Hàng thiết kế giới hạn sang trọng!,Bảo hành 5 năm,"Miễn phí giao hàng, đổi mới trong 7 ngày. Xem ngay!",465.jpg,Hand sewing! Meticulous and delicate in every thread. Luxurious limited designs!
76,467,"Ưu đãi 60%. Mẫu giày da bò chỉ 399k. Miễn phí ship, xem hàng khi thanh toán",Miễn phí vận chuyển toàn quốc,Kiểm tra hàng khi thanh toán,467.jpg,"60% discount. Cow leather shoe model only 399k. Free shipping, see products when paying"
77,469,"Da bò xịn 100% phủ nano chống nhăn, bong tróc, phai màu theo thời gian. Bảo hành 5 năm!",Giày Sabo chính hãng Timan,Được xem hàng rồi thanh toán sau. Miễn phí giao hàng hôm nay,469.jpg,"100% genuine cowhide coated with nano to prevent wrinkles, peeling, and fading over time. 5 year warranty!"
78,472,"Đem lại cái nhìn chỉnh chu, tinh tươm nhất. Đây chính là đôi giày mà các cô nàng đang tìm",Giày Cao Cấp Nữ,Kiểm tra hàng trước khi thanh toán,472.jpg,"Brings the most neat, clean look. These are the shoes that girls are looking for"
79,478,Đừng bỏ lỡ cơ hội của năm Mẫu giày lười da thiết kế ấn tượng quý cô nên có Bảo hành 1 năm,Giảm 40% và free ship tận nhà,Được xem hàng rồi mới thanh toán. Khuyến mãi chỉ còn hôm nay,478.jpg,Don't miss the opportunity of the year. Impressively designed leather loafers for ladies should have a 1-year warranty
80,479,"Phái đẹp là phải điệu chị hiểu hông Phong cách mới, chất nhẹ nhàng, đi thoải mái",Giảm 40% và free ship tận nhà,Được xem hàng rồi mới thanh toán. Khuyến mãi chỉ còn hôm nay,479.jpg,"Women have to be stylish, you understand. New style, light quality, comfortable to wear"
81,480,Mẫu sandals đính đá sang trọng cho quý cô hiện đại. Đi lại nhẹ nhàng và vô cùng êm chân,Ưu đãi hấp dẫn giá chỉ còn 479k,Giày sang mang là đẹp,480.jpg,Luxurious stone-embellished sandals for modern ladies. Walk lightly and extremely comfortably
82,481,"Dép kiểu cách dành cho phái đẹp năm 2020 Với phong cách mới, chất nhẹ nhàng Bảo hành 1 năm",Giảm 30% và free ship tận nhà,Được xem hàng rồi mới thanh toán. Khuyến mãi chỉ còn hôm nay,481.jpg,"Stylish sandals for women in 2020 With new style, gentle quality 1 year warranty"
83,484,Giày supersoft Mẫu mới 2020 mua 1 lần dùng cho 10 năm Bảo vệ tốt nhất cho chân bạn,Dịch vụ hoàn hảo,Thử giày tại nhà và hoàn toàn miễn phí,484.jpg,"Supersoft shoes New model 2020, buy once, use for 10 years. Best protection for your feet"
84,487,Thời trang đón Tết giảm giá 50% hôm nay giày lười Italy được gia công tỉ mĩ từng sợi chỉ,Giá hôm nay chỉ còn 499.000đ,Giao hàng tận nhà được kiểm tra trước khi thanh toán,487.jpg,New Year's fashion is 50% off today. Italian loafers are meticulously crafted with every thread
85,490,Sắm ngay giày chất lượng  Để thêm đẹp dáng và đầy sự tự tin Chắc chắn sẽ làm hài chị em,Đẹp sang thời thượng chất lương,Bảo hành 1 năm. Bao đổ miễn phí 7 ngày. Được kiểm tra hàng,490.jpg,Buy quality shoes now to make your figure more beautiful and full of confidence. It will definitely please women
86,492,"Xả kho nhanh 100 đôi giày thể thao công nghệ đế 4.0, trợ lực tăng chiều cao 5cm giảm 70%",Gumen thời trang nam,Thời trang,492.jpg,"Quick release of 100 pairs of sports shoes with 4.0 sole technology, 5cm height increase support, 70% off"
87,494,Mẫu giày nam mùa đông xả kho giá rẻ sập sàn giảm 67% cho anh em tha hồ mua,Giày nam thiên trụ,,494.jpg,Winter men's shoes are in stock at a low price with a 67% discount for you to buy
88,496,Dép da bò cao cấp 100% - hàng may thủ công - bao kiểm định trước khi nhận hàng,Dép da bò sampo bất hủ - cam kết da bò 100%,299.000 vnđ,496.jpg,100% high quality cow leather sandals - hand sewn - inspected before receiving goods
89,499,"Mang là đẹp, đi làm êm Hàng thiết kế giới hạn sang trọng, tinh tế. Bảo hành 1 năm",Khuyến mãi 40% trong hôm nay,Miễn phí giao hàng chỉ hôm nay! Đặt ngay số lượng giới hạn!,499.jpg,"Wear it beautifully, go to work quietly. The limited design is luxurious and sophisticated. 1 year warranty"
90,504,Shopee black friday - siêu hội săn deal  Khuyến mãi 50%++ Cùng hàng ngàn ưu đãi khác,Cơ hội duy nhất trong năm,Thâu đêm cùng shopee,504.jpg,Shopee black friday - super deal hunting festival 50%++ promotion and thousands of other offers
91,507,Giày thể thao tăng chiều cao 5cm đang được quý ông tìm mua nhiều giảm 70% giá bán 1 ngày,Store Gu Chất,Giày thể thao,507.jpg,"5cm height increasing sneakers are being sought after by many gentlemen, with a 70% discount on the price for 1 day"
92,508,Còn 20 đôi giày lười thoáng khí da bò thật - giá xả kho 649k - kiểm tra mới thanh toán,Bảo hành 12 tháng da và đế,Giao hàng toàn quốc siêu tốc,508.jpg,20 pairs of genuine cowhide breathable loafers left - clearance price 649k - check before paying
